species_original_name,msw05_order,msw05_family,adultbodymass_g,gestationlen_d,littersize,homerange_km2,maxlongevity_m,populationdensity_n_km2,weaningage_d,trophiclevel,gr_midrangelat_dd,gr_midrangelong_dd,species_matched_name,open_tree_id,is_synonym
Chrysochloris asiatica,Afrosoricida,Chrysochloridae,37.16,,3.49,,,1000.0,74.43,3.0,-32.08,19.31,Chrysochloris asiatica,1094517,False
Chrysochloris stuhlmanni,Afrosoricida,Chrysochloridae,55.76,,0.96,,,1000.0,70.72,3.0,-1.35,23.28,Chrysochloris stuhlmanni,1071320,False
Chrysochloris visagiei,Afrosoricida,Chrysochloridae,,,,,,,,3.0,-31.44,20.66,Chrysochloris visagiei,3607173,False
Chrysocyon brachyurus,Carnivora,Canidae,23325.0,63.48,2.0,21.36,180.0,,119.0,2.0,-17.32,-52.48,Chrysocyon brachyurus,837601,False
Chrysospalax trevelyani,Afrosoricida,Chrysochloridae,434.04,115.0,1.41,0.000602526,48.0,1000.0,,3.0,-32.02,28.74,Chrysospalax trevelyani,347650,False
Chrysospalax villosus,Afrosoricida,Chrysochloridae,108.35,,1.93,,,,,3.0,-27.87,30.33,Chrysospalax villosus,702180,False
Cistugo lesueuri,Chiroptera,Vespertilionidae,,,,,,,,,-30.91,24.06,Cistugo lesueuri,488515,False
Cistugo seabrae,Chiroptera,Vespertilionidae,,,,,,,,,-22.92,15.45,Cistugo seabrae,533601,False
Civettictis civetta,Carnivora,Viverridae,12075.58,68.4,2.31,,336.0,,82.91,2.0,-6.02,13.26,Civettictis civetta,768511,False
Clidomys osborni,Rodentia,Heptaxodontidae,,,,,,,,,,,Clidomys osborni,3610418,False
Cloeotis percivali,Chiroptera,Hipposideridae,4.16,91.24,0.99,,,,,,-15.65,32.52,Cloeotis percivali,787368,False
Clyomys bishopi,Rodentia,Echimyidae,30.0,,,,,,,,-22.26,-45.39,Clyomys bishopi,156840,False
Clyomys laticeps,Rodentia,Echimyidae,201.0,,,,,,,,-17.41,-51.0,Clyomys laticeps,155620,False
Coccymys albidens,Rodentia,Muridae,,,,,,,,,-4.03,138.75,Brassomys albidens,3608698,True
Coccymys ruemmleri,Rodentia,Muridae,29.7,,,,,,,1.0,-5.83,142.62,Coccymys ruemmleri,118387,False
Coelops frithii,Chiroptera,Hipposideridae,7.52,,0.98,,,,,3.0,11.22,104.01,Coelops frithii,1011482,False
Coelops robinsoni,Chiroptera,Hipposideridae,6.5,,,,,,,3.0,4.99,112.41,Coelops robinsoni,426035,False
Coendou bicolor,Rodentia,Erethizontidae,4492.49,,1.0,,,5.58,69.6,1.0,-3.35,-72.65,Coendou bicolor,504988,False
Coendou nycthemera,Rodentia,Erethizontidae,2999.98,,,,,,,,-2.73,-54.18,Coendou nycthemera,3609639,False
Coendou prehensilis,Rodentia,Erethizontidae,4116.2,200.74,0.98,0.14,207.6,35.69,69.54,1.0,-8.43,-53.78,Coendou prehensilis,466149,False
Coendou rothschildi,Rodentia,Erethizontidae,2000.0,,,,,,,1.0,8.41,-79.96,Coendou rothschildi,3609640,False
Coleura afra,Chiroptera,Emballonuridae,10.68,,1.0,,,,,3.0,1.77,18.78,Coleura afra,637419,False
Coleura seychellensis,Chiroptera,Emballonuridae,10.64,,,,,,,3.0,-4.68,55.45,Coleura seychellensis,73572,False
Colobus angolensis,Primates,Cercopithecidae,8990.31,,1.01,,,,,1.0,-4.16,26.69,Colobus angolensis,721482,False
Colobus guereza,Primates,Cercopithecidae,9925.88,169.02,1.0,0.17,294.0,99.2,387.79,1.0,5.15,26.26,Colobus guereza,565569,False
Colobus polykomos,Primates,Cercopithecidae,8797.29,172.69,1.0,0.14,366.0,23.5,213.78,1.0,9.06,-10.8,Colobus polykomos,989400,False
Colobus satanas,Primates,Cercopithecidae,9055.32,192.76,0.99,0.44,,26.57,,1.0,1.97,11.82,Colobus satanas,189815,False
Colobus vellerosus,Primates,Cercopithecidae,7700.18,,1.02,0.29,,,,,7.44,-0.88,Colobus vellerosus,39815,False
Colomys goslingi,Rodentia,Muridae,62.5,,1.97,,36.0,,,,-2.14,11.71,Colomys goslingi,23039,False
Condylura cristata,Soricomorpha,Talpidae,48.15,40.0,5.39,0.003656234,36.0,4999.99,20.84,3.0,43.1,-77.82,Condylura cristata,292504,False
Conepatus chinga,Carnivora,Mephitidae,,,,,,,,,-24.6,-66.13,Conepatus chinga,231612,False
Conepatus humboldtii,Carnivora,Mephitidae,1097.61,,3.49,0.1,,,,3.0,-45.97,-68.78,Conepatus humboldtii,3613131,False
Conepatus leuconotus,Carnivora,Mephitidae,3293.91,60.83,3.6,,84.0,,45.56,3.0,26.0,-99.88,Conepatus leuconotus,231610,False
Conepatus semistriatus,Carnivora,Mephitidae,1997.34,,3.49,0.27,,9.52,,2.0,4.29,-66.03,Conepatus semistriatus,1023230,False
Congosorex polli,Soricomorpha,Soricidae,,,,,,,,,-6.56,22.64,Congosorex polli,3614470,False
Congosorex verheyeni,Soricomorpha,Soricidae,,,,,,,,,,,Congosorex verheyeni,810603,False
Conilurus albipes,Rodentia,Muridae,200.0,,,,,,,,,,Conilurus albipes,3608828,False
Conilurus penicillatus,Rodentia,Muridae,175.02,35.99,2.0,,,,24.4,2.0,-12.88,133.02,Conilurus penicillatus,794941,False
Connochaetes gnou,Artiodactyla,Bovidae,156547.53,256.76,1.0,0.95,240.0,34.62,111.57,1.0,-28.83,26.87,Connochaetes gnou,363047,False
Dasymys montanus,Rodentia,Muridae,,,,,,,,,0.34,30.16,Dasymys montanus,3608667,False
Dasymys nudipes,Rodentia,Muridae,,,,,,,,,-14.65,19.65,Dasymys nudipes,3608663,False
Dasymys rufulus,Rodentia,Muridae,,,,,,,,,7.69,-1.8,Dasymys rufulus,911466,False
Dasymys rwandae,Rodentia,Muridae,,,,,,,,,,,Dasymys rwandae,3608666,False
Dasymys sua,Rodentia,Muridae,,,,,,,,,,,Dasymys sua,3608668,False
Dasyprocta azarae,Rodentia,Dasyproctidae,2976.81,,,,,,140.0,1.0,-22.96,-53.44,Dasyprocta azarae,3609680,False
Dasyprocta coibae,Rodentia,Dasyproctidae,,,,,,,140.0,1.0,7.47,-81.74,Dasyprocta coibae,3609682,False
Dasyprocta cristata,Rodentia,Dasyproctidae,2650.03,,2.0,,,,140.0,1.0,,,Dasyprocta cristata,3609681,False
