canonical_taxon_id,species,order,family,genus,adult_body_mass_g,gestation_length_d,litter_size,weaning_age_d,home_range_km2,trophic_level,max_longevity_m
elephantulus_revoili,Elephantulus revoili,Macroscelidea,Macroscelididae,Elephantulus,32.49,,,,,,
elephantulus_rozeti,Elephantulus rozeti,Macroscelidea,Macroscelididae,Elephantulus,43.07,75.0,2.13,,,,36.0
elephantulus_rufescens,Elephantulus rufescens,Macroscelidea,Macroscelididae,Elephantulus,52.78,57.0,1.41,24.85,0.002648142,2.0,72.0
elephantulus_rupestris,Elephantulus rupestris,Macroscelidea,Macroscelididae,Elephantulus,65.56,56.0,1.84,,,,
elephas_maximus,Elephas maximus,Proboscidea,Elephantidae,Elephas,3269794.34,634.49,1.41,218.26,38.36,1.0,960.0
eligmodontia_moreni,Eligmodontia moreni,Rodentia,Cricetidae,Eligmodontia,18.0,,,,,,
eligmodontia_morgani,Eligmodontia morgani,Rodentia,Cricetidae,Eligmodontia,16.5,,,,,,
eligmodontia_puerulus,Eligmodontia puerulus,Rodentia,Cricetidae,Eligmodontia,28.49,,,,,,
eligmodontia_typus,Eligmodontia typus,Rodentia,Cricetidae,Eligmodontia,17.37,18.38,6.24,,,1.0,9.6
eliomys_melanurus,Eliomys melanurus,Rodentia,Gliridae,Eliomys,100.36,25.0,4.99,,,2.0,
eliomys_quercinus,Eliomys quercinus,Rodentia,Gliridae,Eliomys,114.61,22.97,4.99,34.8,,2.0,66.0
eliurus_majori,Eliurus majori,Rodentia,Nesomyidae,Eliurus,100.0,,,,,,
eliurus_minor,Eliurus minor,Rodentia,Nesomyidae,Eliurus,57.53,,,,,,
eliurus_myoxinus,Eliurus myoxinus,Rodentia,Nesomyidae,Eliurus,69.76,23.99,,,,2.0,
eliurus_penicillatus,Eliurus penicillatus,Rodentia,Nesomyidae,Eliurus,100.0,,,,,,
eliurus_tanala,Eliurus tanala,Rodentia,Nesomyidae,Eliurus,89.99,,,,,,
eliurus_webbi,Eliurus webbi,Rodentia,Nesomyidae,Eliurus,61.13,,,,,1.0,
ellobius_fuscocapillus,Ellobius fuscocapillus,Rodentia,Cricetidae,Ellobius,80.0,,3.46,,,1.0,
ellobius_talpinus,Ellobius talpinus,Rodentia,Cricetidae,Ellobius,40.0,26.0,3.67,59.99,,,
emballonura_alecto,Emballonura alecto,Chiroptera,Emballonuridae,Emballonura,5.25,,,,,,
emballonura_atrata,Emballonura atrata,Chiroptera,Emballonuridae,Emballonura,4.55,,,,,3.0,
emballonura_beccarii,Emballonura beccarii,Chiroptera,Emballonuridae,Emballonura,4.31,,,,,,
emballonura_monticola,Emballonura monticola,Chiroptera,Emballonuridae,Emballonura,5.35,,1.0,,,3.0,
emballonura_raffrayana,Emballonura raffrayana,Chiroptera,Emballonuridae,Emballonura,5.61,,,,,,
emballonura_semicaudata,Emballonura semicaudata,Chiroptera,Emballonuridae,Emballonura,6.29,,,,,,
enchisthenes_hartii,Enchisthenes hartii,Chiroptera,Phyllostomidae,Enchisthenes,16.99,,0.99,,,1.0,
eoglaucomys_fimbriatus,Eoglaucomys fimbriatus,Rodentia,Sciuridae,Eoglaucomys,510.0,,3.74,75.47,,,
eolagurus_luteus,Eolagurus luteus,Rodentia,Cricetidae,Eolagurus,26.0,,7.5,,,,
eonycteris_major,Eonycteris major,Chiroptera,Pteropodidae,Eonycteris,70.7,,1.0,,,1.0,
eonycteris_robusta,Eonycteris robusta,Chiroptera,Pteropodidae,Eonycteris,78.36,,,,,,
eonycteris_spelaea,Eonycteris spelaea,Chiroptera,Pteropodidae,Eonycteris,58.7,152.18,1.0,59.95,,2.0,60.0
eospalax_fontanierii,Eospalax fontanierii,Rodentia,Spalacidae,Eospalax,256.76,,,,,,
eothenomys_melanogaster,Eothenomys melanogaster,Rodentia,Cricetidae,Eothenomys,19.59,,1.8,,,,
episoriculus_fumidus,Episoriculus fumidus,Soricomorpha,Soricidae,Episoriculus,6.95,,3.42,,,,
epixerus_ebii,Epixerus ebii,Rodentia,Sciuridae,Epixerus,520.96,,2.0,,,1.0,
epomophorus_crypturus,Epomophorus crypturus,Chiroptera,Pteropodidae,Epomophorus,95.04,91.24,0.99,60.83,,1.0,
epomophorus_gambianus,Epomophorus gambianus,Chiroptera,Pteropodidae,Epomophorus,134.59,156.43,0.98,59.99,,1.0,
epomophorus_grandis,Epomophorus grandis,Chiroptera,Pteropodidae,Epomophorus,49.42,,,,,1.0,
epomophorus_labiatus,Epomophorus labiatus,Chiroptera,Pteropodidae,Epomophorus,69.65,156.43,0.99,,,1.0,
epomophorus_wahlbergi,Epomophorus wahlbergi,Chiroptera,Pteropodidae,Epomophorus,93.59,156.43,0.99,668.8,,1.0,
epomops_buettikoferi,Epomops buettikoferi,Chiroptera,Pteropodidae,Epomops,135.67,139.92,0.98,55.65,,1.0,
epomops_dobsonii,Epomops dobsonii,Chiroptera,Pteropodidae,Epomops,122.08,,,,,,
epomops_franqueti,Epomops franqueti,Chiroptera,Pteropodidae,Epomops,118.99,161.77,1.0,,,,
eptesicus_bobrinskoi,Eptesicus bobrinskoi,Chiroptera,Vespertilionidae,Eptesicus,7.54,,,,,,
eptesicus_bottae,Eptesicus bottae,Chiroptera,Vespertilionidae,Eptesicus,15.66,,,,,,
eptesicus_brasiliensis,Eptesicus brasiliensis,Chiroptera,Vespertilionidae,Eptesicus,9.2,,1.46,,,3.0,
eptesicus_diminutus,Eptesicus diminutus,Chiroptera,Vespertilionidae,Eptesicus,5.99,,,,,,
eptesicus_dimissus,Eptesicus dimissus,Chiroptera,Vespertilionidae,Eptesicus,13.03,,,,,,
eptesicus_furinalis,Eptesicus furinalis,Chiroptera,Vespertilionidae,Eptesicus,7.7,92.54,1.86,,,3.0,
eptesicus_fuscus,Eptesicus fuscus,Chiroptera,Vespertilionidae,Eptesicus,17.49,52.14,1.85,34.18,,3.0,240.0
eptesicus_hottentotus,Eptesicus hottentotus,Chiroptera,Vespertilionidae,Eptesicus,30.33,,,,,,
